"id","book_id","word_id","index_no","definition","created_at","updated_at"
1,1,1,1,"を創り出す、を引き起こす","2023-09-09 07:15:46","2024-06-21 12:38:43"
2,1,2,2,"増加する(⇔decrease)、を増やす","2023-09-09 07:15:46","2024-06-21 12:40:13"
3,1,3,3,"を向上させる、よくなる","2023-09-09 07:15:46","2024-06-21 12:42:33"
4,1,4,4,"を意味する、(…する)つもりである(to do)","2023-09-09 07:15:46","2024-06-21 12:43:53"
5,1,5,5,"を所有している、(事実・罪など)を認める","2023-09-09 07:15:46","2024-06-21 12:44:52"
6,1,6,6,"を含む(⇔exclude)","2023-09-09 07:15:46","2024-06-21 12:46:12"
7,1,7,7,"〜をよく考える、を見なす、について考える","2023-09-09 07:15:46","2024-06-21 12:47:07"
8,1,8,8,"を許す、を与える、(〜を)考慮に入れる(for)","2023-09-09 07:15:46","2024-06-21 12:48:46"
9,1,9,9,"を提案する、を暗示する","2023-09-09 07:15:46","2024-06-21 12:50:00"
10,1,10,10,"を生産する、を取り出す","2023-09-09 07:15:46","2024-06-21 12:51:09"
11,1,11,11,"を決める、に決着をつける","2023-09-09 07:15:46","2024-06-21 12:52:17"
12,1,12,12,"を提供する、申し出る","2023-09-09 07:15:46","2024-06-21 12:53:34"
13,1,13,13,"を要求する、を必要とする","2023-09-09 07:15:46","2024-06-21 12:54:37"
14,1,14,14,"を共有する、を分担する","2023-09-09 07:15:46","2024-06-21 12:55:37"
15,1,15,15,"を保存する、を蓄える","2023-09-09 07:15:46","2024-06-21 13:03:33"
16,1,16,16,"傾向がある、を世話する","2023-09-09 07:15:46","2024-06-21 13:05:12"
17,1,17,17,"(受け身形で)心配している、(受け身形で)(〜に)関係する(with)、に関連する","2023-09-09 07:15:46","2024-06-21 13:06:32"
18,1,18,18,"について述べる、を説明する","2023-09-09 07:15:46","2024-06-21 13:07:32"
19,1,19,19,"を関与させる、を伴う","2023-09-09 07:15:46","2024-06-21 13:08:35"
20,1,20,20,"を減らす、を(〜に)変える(to)","2023-09-09 07:15:46","2024-06-21 13:10:02"
21,1,21,21,"を設計する、を計画する","2023-09-09 07:15:46","2024-06-21 13:11:43"
22,1,22,22,"に強いる、を強要する","2023-09-09 07:15:46","2024-06-21 13:13:12"
23,1,23,23,"を制限[規制]する","2023-09-09 07:15:46","2024-06-21 14:55:13"
24,1,24,24,"に耐える(≒endure)、を負う、を産む、を(心に)抱く","2023-09-09 07:15:46","2024-06-21 14:56:23"
25,1,25,25,"に影響を及ぼす(≒influence)、を感動させる","2023-09-09 07:15:46","2024-06-21 14:57:23"
26,1,26,26,"(deal withで)を処理する、(deal inで)を商う、を分配する","2023-09-09 07:15:46","2024-06-21 14:58:24"
27,1,27,27,"を避ける","2023-09-09 07:15:46","2024-06-21 14:59:23"
28,1,28,28,"を関連付ける、(〜に)関連する(to)","2023-09-09 07:15:46","2024-06-21 15:00:46"
29,1,29,29,"に気付く、を実現する","2023-09-09 07:15:46","2024-06-21 15:02:08"
30,1,30,30,"を奨励する、を励ます(⇔discourage)","2023-09-09 07:15:46","2024-06-21 15:03:31"
31,1,31,31,"を比較する、を(〜に)例える(to)","2023-09-09 07:15:46","2024-06-21 15:04:45"
32,1,32,32,"を測る、を(比較して)評価する","2023-09-09 07:15:46","2024-06-21 15:11:01"
33,1,33,33,"存在する、生存する","2023-09-09 07:15:46","2024-06-21 15:12:54"
34,1,34,34,"に印を付ける、を(記号で)示す、に汚れを付ける","2023-09-09 07:15:46","2024-06-21 15:14:09"
35,1,35,35,"に異議を唱える、(人)に挑む","2023-09-09 07:15:46","2024-06-21 15:15:47"
36,1,36,36,"頼る、〜次第である","2023-09-09 07:15:46","2024-06-21 15:16:47"
37,1,37,37,"反対する、(…)と言って反対する(that節)","2023-09-09 07:15:46","2024-06-21 15:18:36"
38,1,38,38,"を要求する","2023-09-09 07:15:46","2024-06-21 15:19:53"
39,1,39,39,"を設立する、(理論など)を(〜に基づいて)築く(on)","2023-09-09 07:15:46","2024-06-21 15:20:54"
40,1,40,40,"を完成させる、仕上げる","2023-09-09 07:15:46","2024-06-21 15:22:29"
41,1,41,41,"考え、思いつき、理解、見解、概念","2023-09-09 07:15:46","2024-06-21 15:23:24"
42,1,42,42,"一致、合意、協定","2023-09-09 07:15:46","2024-06-21 15:25:10"
43,1,43,43,"会社、(集合的に)仲間、(仲間と)一緒にいること、一座","2023-09-09 07:15:46","2024-06-21 15:26:30"
44,1,44,44,"興味 、利子、利害","2023-09-09 07:15:46","2024-06-21 15:27:34"
45,1,45,45,"(〜についての)研究、調査(into / on / in)","2023-09-09 07:15:46","2024-06-21 15:28:51"
46,1,46,46,"原因(⇔effect)、理由、大義","2023-09-09 07:15:46","2024-06-21 15:29:47"
47,1,47,47,"理由、(…する)根拠(to do)、理性、分別","2023-09-09 07:15:46","2024-06-21 15:30:47"
48,1,48,48,"影響、効果、結果","2023-09-09 07:15:46","2024-06-21 15:32:00"
49,1,49,49,"影響(カ)","2023-09-09 07:15:46","2024-06-21 15:37:57"
50,1,50,50,"状況、(人の置かれた)立場","2023-09-09 07:15:46","2024-06-21 15:38:57"
51,1,51,51,"環境(≒surroundings)","2023-09-09 07:15:46","2024-06-21 15:40:04"
52,1,52,52,"技能、熟練","2023-09-09 07:15:46","2024-06-21 15:41:11"
53,1,53,53,"事柄、問題、(~s)事態、(the ~)困難、物質","2023-09-09 07:15:46","2024-06-23 01:42:09"
54,1,54,54,"(〜についての)見解(on / about)、(〜に対する)(特定の)見方(of)、眺め","2023-09-09 07:15:46","2024-06-23 01:45:34"
55,1,55,55,"価値、価格、評価、 (~s)価値観","2023-09-09 07:15:46","2024-06-23 01:51:30"
56,1,56,56,"(生物の)種、種類","2023-09-09 07:15:46","2024-06-23 01:53:02"
57,1,57,57,"考え、思考","2023-09-09 07:15:46","2024-06-23 01:54:12"
58,1,58,58,"知識、知っていること、認識","2023-09-09 07:15:46","2024-06-23 01:55:37"
59,1,59,59,"記憶(カ) 、 (…の)思い出(of)","2023-09-09 07:15:46","2024-06-23 01:56:49"
60,1,60,60,"実践、実行、(社会の)慣習、練習","2023-09-09 07:15:46","2024-06-23 01:57:55"
61,1,61,61,"利益、恩恵、給付金","2023-09-09 07:15:46","2024-06-23 01:59:06"
62,1,62,62,"学説、理論、原理、推測","2023-09-09 07:15:46","2024-06-23 02:00:53"
63,1,63,63,"問題(点)、発行(物)、発表","2023-09-09 07:15:46","2024-06-23 02:01:51"
64,1,64,64,"(〜を対象とする)実験(on)","2023-09-09 07:15:46","2024-06-23 02:03:00"
65,1,65,65,"記事、条項、品物","2023-09-09 07:15:46","2024-06-23 02:04:34"
66,1,66,66,"焦点、関心の的","2023-09-09 07:15:46","2024-06-23 02:05:54"
67,1,67,67,"話題、科目、主題、被験者","2023-09-09 07:15:46","2024-06-23 02:07:29"
68,1,68,68,"計画、事業、研究計画","2023-09-09 07:15:46","2024-06-23 02:08:25"
69,1,69,69,"質(⇔quantity)、特質","2023-09-09 07:15:46","2024-06-23 08:54:56"
70,1,70,70,"役割、(俳優などの)役","2023-09-09 07:15:46","2024-06-23 08:56:12"
71,1,71,71,"(専門)用語、(~s)条件、(~s)間柄、学期","2023-09-09 07:15:46","2024-06-23 08:57:37"
72,1,72,72,"声明、主張、明細書","2023-09-09 07:15:46","2024-06-23 08:58:31"
73,1,73,73,"材料・原料、資料、生地","2023-09-09 07:15:46","2024-06-23 08:59:34"
74,1,74,74,"証拠","2023-09-09 07:15:46","2024-06-23 09:00:39"
75,1,75,75,"(〜の)源、根源(of)、出所、情報源","2023-09-09 07:15:46","2024-06-23 09:01:42"
76,1,76,76,"(共同)社会、〜界、地域社会、地域住民","2023-09-09 07:15:46","2024-06-23 09:02:50"
77,1,77,77,"科学技術、応用技術","2023-09-09 07:15:46","2024-06-23 09:04:19"
78,1,78,78,"文化、教養、工作、養殖、培養","2023-09-09 07:15:46","2024-06-23 09:05:08"
79,1,79,79,"(〜に)適切な(for / to)","2023-09-09 07:15:46","2024-06-23 09:06:15"
80,1,80,80,"ありそうな(⇔unlikely)","2023-09-09 07:15:46","2024-06-23 09:07:39"
81,1,81,81,"可能な、可能性のある","2023-09-09 07:15:46","2024-06-23 09:14:00"
82,1,82,82,"個々の、個人の","2023-09-09 07:15:46","2024-06-23 09:15:06"
83,1,83,83,"公の(⇔private 私的な)、公衆の、公開の","2023-09-09 07:15:46","2024-06-23 09:16:14"
84,1,84,84,"共通の、一般の、普通の","2023-09-09 07:15:46","2024-06-23 09:17:12"
85,1,85,85,"確信して、確かな、ある、一定の","2023-09-09 07:15:46","2024-06-23 13:08:41"
