"id","line_id","example","translation","created_at","updated_at"
1,1,"Technological change will `*create* new ways of living`.","技術の変化は`新たな生活様式を*創り出す*`。","2023-09-09 07:15:46","2024-06-21 12:38:43"
2,2,"Japan’s real GDP `*increased* by 1.9 percent` last year.","日本の実質GDPは昨年`1.9%*増加した*`。","2023-09-09 07:15:46","2024-06-21 12:40:13"
3,3,"Light exercise `*improves* thinking ability`.","軽い運動は`思考力を*向上させる*`。","2023-09-09 07:15:46","2024-06-21 12:42:33"
4,4,"`Her silence *means* that she does not agree` with you.","`彼女の沈黙は彼女が`あなたに`同意していないことを*意味する*`。","2023-09-09 07:15:46","2024-06-21 12:43:53"
5,5,"A millionaire from China `*owns* this hotel`.","中国の富豪が`このホテルを*所有している*`。","2023-09-09 07:15:46","2024-06-21 12:44:52"
6,6,"`Jane’s word *includes* typing letters` and making appointments.","`ジェーンの仕事は手紙をタイプ`したり、アポを取ったり`することを*含む*`。","2023-09-09 07:15:46","2024-06-21 12:46:12"
7,7,"She `*considers* herself to be lucky`.","彼女は`自分自身を幸運だと*見なしている*`。","2023-09-09 07:15:46","2024-06-21 12:47:07"
8,8,"The company `*allows* its employees to take long winter vacations`.","その会社は`従業員が長い冬季休暇を取ることを*許している*`。","2023-09-09 07:15:46","2024-06-21 12:48:46"
9,9,"The teacher `*suggested* that he study physics` in university.","先生は彼が大学で`物理学を学ぶことを*提案した*`。","2023-09-09 07:15:46","2024-06-21 12:50:00"
10,10,"The manufacturer `*produces* home electrical appliances`.","その製造業者は`家庭用電化製品を*生産している*`。","2023-09-09 07:15:46","2024-06-21 12:51:09"
11,11,"She `has *decided* to memorize ten English words` a day.","彼女は1日に`10個の英単語を覚えることを*決めた*`。","2023-09-09 07:15:46","2024-06-21 12:52:17"
12,12,"Uncle George `*offered* me an opportunity` to work for his company.","ジョージおじさんは彼の会社で働く`機会を私に*提供した*`。","2023-09-09 07:15:46","2024-06-21 12:53:34"
13,13,"The Road Traffic Law `*requires* you to wear a seat belt`.","道路交通法はあなたが`シートベルトを着用することを*要求する*`。","2023-09-09 07:15:46","2024-06-21 12:54:37"
14,14,"I `*share* my office space with other people`.","私は`ほかの人々と事務所スペースを*共有している*`。","2023-09-09 07:15:46","2024-06-21 12:55:37"
15,15,"You should `*store* backups of data on the Internet` regularly.","定期的に`インターネットにデータのバックアップを*保存する*`べきだ。","2023-09-09 07:15:46","2024-06-21 13:03:33"
16,16,"My town `*tends* to get windy`.","私の街は`風がよく吹く*傾向がある*`。","2023-09-09 07:15:46","2024-06-21 13:05:12"
17,17,"We `are *concerned* about the negative effect `of the new tax law.","私たちは`新しい税法のマイナス効果を*心配している*`。","2023-09-09 07:15:46","2024-06-21 13:06:32"
18,18,"She `*described* her physical condition` to her doctor.","彼女は医師に`自分の体調を*説明した*`。","2023-09-09 07:15:46","2024-06-21 13:07:32"
19,19,"In Japan, more and more men `are *involved* in raising children`.","日本では、`子育てに*関わる*`男性が増えている。","2023-09-09 07:15:46","2024-06-21 13:08:35"
20,20,"Good eating habits can `*reduce* the risk of heart disease`.","よい食習慣は`心疾患の危険を*軽減し*`うる。","2023-09-09 07:15:46","2024-06-21 13:10:02"
21,21,"`Airbags are *designed* to protect` average-sized adult males.","`エアバッグは`平均的な体格の成人男性を`保護するように*設計さ*れている`。","2023-09-09 07:15:46","2024-06-21 13:11:43"
22,22,"The scandal `*forced* the CEO to resign` from his position.","そのスキャンダルは`CEOに`その地位を`辞することを*強いた*`。","2023-09-09 07:15:46","2024-06-21 13:13:12"
