"id","english","part_of_speech","created_at","updated_at"
1,"create","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
2,"increase","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
3,"improve","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
4,"mean","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
5,"own","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
6,"include","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
7,"consider","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
8,"allow","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
9,"suggest","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
10,"produce","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
11,"decide","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
12,"offer","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
13,"require","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
14,"share","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
15,"store","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
16,"tend","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
17,"concern","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
18,"describe","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
19,"involve","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
20,"reduce","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
21,"design","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
22,"force","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
23,"limit","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
24,"bear","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
25,"affect","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
26,"deal","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
27,"avoid","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
28,"relate","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
29,"realize","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
30,"encourage","動詞","2023-09-09 07:15:39","2023-09-09 07:15:39"
